ID,Cluster,Age_Grp,Gender,ADC,Reg_Flv,Reg_Len,Reg_PrcComb,Reg_Barrel,Reg_Tar,HH_Inc,Mon_Allowance,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
445,Clus 2,G 10,G 2,7,G 2,G 1,G 2,G 1,G 3,G 10,G 5,0,-1,0,1,0,1,1,-1,0,0,0,0,0,0,-1,-1,1,0,0,-1,0,1,1,0,-1,-1,0,0,1,1,0,-1
464,Clus 5,G 10,G 2,50,G 2,G 1,G 2,G 1,G 1,G 7,G 5,-1,0,-1,1,0,0,-1,0,0,1,1,0,0,-1,-1,0,0,0,-1,0,0,0,1,0,-1,-1,1,1,1,1,-1,-1
467,Clus 1,G 10,G 2,20,G 1,G 1,G 2,G 1,G 1,G 2,G 3,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,1,-1,1,1,0,1,1,1,1,-1
475,Clus 4,G 8,G 2,10,G 2,G 2,G 2,G 1,G 1,G 3,G 4,0,-1,-1,1,0,0,0,1,1,1,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,1,1,0,1,-1,-1
480,Clus 2,G 7,G 1,15,G 2,G 1,G 1,G 1,G 3,G 3,G 3,0,-1,0,1,1,0,0,-1,1,0,0,1,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,0,-1,-1
483,Clus 3,G 6,G 1,10,G 1,G 2,G 1,G 2,G 1,G 11,G 11,1,1,0,-1,-1,0,-1,1,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,0,1,0,0,1,0,1,1,0
496,Clus 5,G 6,G 2,7,G 1,G 1,G 2,G 1,G 3,G 9,G 2,0,0,-1,0,0,-1,-1,0,1,0,-1,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1
504,Clus 1,G 7,G 2,12,G 1,G 1,G 2,G 1,G 1,G 12,G 11,0,-1,0,0,0,0,0,-1,-1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1
532,Clus 2,G 10,G 2,10,G 2,G 1,G 2,G 1,G 2,G 9,G 5,-1,-1,0,1,0,-1,1,1,0,0,0,-1,0,1,0,-1,0,1,0,-1,0,0,0,0,-1,-1,0,0,1,1,0,-1
545,Clus 5,G 7,G 2,10,G 1,G 1,G 1,G 1,G 3,G 2,G 1,0,-1,0,1,-1,0,-1,-1,1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,1,0,0,1,0,0,1,0,1,0
571,Clus 5,G 7,G 2,10,G 1,G 1,G 1,G 1,G 3,G 3,G 3,-1,-1,0,0,0,1,-1,0,0,0,0,-1,0,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,-1
572,Clus 5,G 10,G 2,8,G 1,G 2,G 1,G 2,G 2,G 3,G 2,1,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,-1,0,-1,0,0,1,0,-1,1,0,1,0,0,1,-1
582,Clus 3,G 10,G 1,15,G 2,G 2,G 2,G 1,G 2,G 7,G 3,1,-1,-1,0,1,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,0,0,0,1,0,1,0,-1,0,0,1,0,0,0,0
583,Clus 5,G 8,G 2,20,G 2,G 1,G 1,G 1,G 4,G 8,G 4,0,-1,0,0,-1,-1,-1,0,0,-1,-1,1,0,0,0,0,1,1,0,-1,-1,0,1,0,1,-1,1,1,0,1,0,-1
625,Clus 2,G 9,G 2,15,G 2,G 1,G 2,G 1,G 4,G 9,G 7,0,-1,0,1,0,0,-1,0,1,0,-1,-1,-1,0,0,0,0,0,-1,0,1,0,1,0,-1,-1,0,0,1,1,0,0
682,Clus 1,G 9,G 2,10,G 1,G 2,G 1,G 2,G 1,G 4,G 3,1,1,0,0,0,0,1,1,0,1,-1,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,1,1,1,-1
687,Clus 2,G 8,G 2,20,G 2,G 1,G 1,G 1,G 3,G 2,G 3,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,1,-1,0,0,0,0,0,0,0,1,0,1,1,0,0
715,Clus 1,G 5,G 2,20,G 1,G 2,G 1,G 1,G 3,G 4,G 6,0,-1,0,0,-1,1,0,0,1,0,0,-1,-1,1,0,0,0,0,-1,-1,0,0,0,-1,0,1,1,0,1,0,1,-1
719,Clus 4,G 8,G 2,20,G 2,G 1,G 2,G 1,G 3,G 6,G 7,-1,-1,-1,1,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,1,0,0,-1
724,Clus 2,G 4,G 1,15,G 2,G 1,G 1,G 1,G 4,G 3,G 3,0,0,0,1,1,0,-1,0,0,0,-1,1,-1,1,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,1,0,0,-1
746,Clus 4,G 9,G 2,15,G 2,G 1,G 2,G 1,G 2,G 9,G 5,-1,-1,0,0,0,0,1,0,1,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,1,1,1,0,0,0,1,-1
752,Clus 2,G 10,G 2,20,G 2,G 1,G 2,G 1,G 4,G 2,G 8,0,0,0,0,0,1,0,0,1,0,0,1,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,-1,0
758,Clus 3,G 5,G 1,5,G 2,G 2,G 2,G 1,G 1,G 2,G 2,0,0,0,1,-1,0,0,1,1,1,0,0,-1,0,0,-1,0,-1,0,0,1,0,1,0,-1,-1,0,1,1,1,1,0
764,Clus 4,G 10,G 2,20,G 2,G 2,G 2,G 1,G 1,G 1,G 4,0,0,-1,0,0,-1,0,1,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,1,1,0,0,0,0,0,1,1,0,-1
766,Clus 3,G 6,G 2,10,G 1,G 1,G 1,G 3,G 3,G 10,G 16,0,1,-1,1,0,0,0,1,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,-1,-1,-1,0,0,1,1,0,1,1,-1
781,Clus 3,G 9,G 2,8,G 1,G 1,G 2,G 3,G 1,G 9,G 3,0,0,-1,0,1,0,-1,1,1,1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,1,0,1,1,-1
796,Clus 4,G 7,G 2,15,G 2,G 1,G 2,G 1,G 1,G 10,G 1,0,0,0,1,1,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,1,0,-1,0,1,1,0,0,-1,-1
803,Clus 4,G 8,G 1,20,G 2,G 2,G 2,G 1,G 4,G 3,G 2,0,0,-1,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,1,1,1,0,-1,-1
813,Clus 4,G 10,G 2,12,G 2,G 1,G 2,G 1,G 1,G 3,G 3,0,0,-1,0,0,0,1,1,0,0,-1,0,0,0,0,1,0,-1,-1,0,0,1,1,0,-1,-1,1,1,0,1,-1,0
828,Clus 4,G 10,G 2,20,G 2,G 2,G 2,G 1,G 1,G 5,G 4,0,0,-1,1,0,0,-1,1,1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,-1,-1,0,0,1,1,0,0
