ID,Cluster,Age_Grp,Gender,ADC,Reg_Flv,Reg_Len,Reg_PrcComb,Reg_Barrel,Reg_Tar,HH_Inc,Mon_Allowance,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
"4,492",Clus 5,G 6,G 2,10,G 2,G 1,G 2,G 1,G 3,G 4,G 1,-1,-1,-1,0,0,0,0,-1,1,1,0,0,0,1,1,0,0,0,0,-1,0,1,1,0,1,0,0,0,1,-1,1,-1
"4,493",Clus 2,G 4,G 2,12,G 2,G 1,G 1,G 1,G 4,G 3,G 2,0,0,0,0,0,0,-1,-1,0,1,0,0,0,1,0,0,0,0,-1,-1,0,1,1,1,-1,0,1,1,1,-1,-1,0
"4,494",Clus 2,G 9,G 2,12,G 2,G 1,G 1,G 1,G 3,G 3,G 1,0,-1,-1,0,-1,0,0,0,0,1,-1,0,0,1,0,0,0,0,-1,-1,-1,1,1,0,0,0,1,1,1,0,0,-1
"4,496",Clus 1,G 4,G 1,30,G 1,G 1,G 1,G 1,G 2,G 1,G 2,-1,-1,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,1,0,1,1,0,0,0,1,1,0
"4,497",Clus 2,G 5,G 2,10,G 2,G 2,G 2,G 1,G 2,G 3,G 4,0,-1,1,1,0,1,0,0,1,1,0,0,0,-1,0,0,1,1,-1,-1,-1,0,0,1,0,0,0,0,1,1,0,-1
"4,499",Clus 4,G 9,G 2,15,G 2,G 1,G 1,G 1,G 4,G 5,G 2,0,0,-1,1,0,-1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,1,1,-1,0,1,0,1,0,0,0
"4,500",Clus 4,G 5,G 1,15,G 2,G 1,G 2,G 1,G 2,G 9,G 4,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,1,1,-1,-1,0,1,1,1,-1,0
"4,503",Clus 2,G 6,G 1,12,G 1,G 1,G 1,G 1,G 3,G 2,G 2,0,0,0,1,-1,0,0,0,1,0,0,0,-1,0,0,-1,0,-1,-1,-1,1,0,1,0,0,0,1,0,0,0,0,-1
"4,504",Clus 2,G 4,G 2,5,G 2,G 1,G 1,G 1,G 2,G 6,G 4,0,-1,-1,0,0,-1,0,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,-1,-1,1,0,0,-1,-1,-1
"4,505",Clus 4,G 3,G 2,10,G 2,G 1,G 2,G 1,G 2,G 7,G 2,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,-1,0,1,1,-1,-1,-1,0,0,0,1,-1,-1
"4,506",Clus 1,G 4,G 2,5,G 2,G 1,G 1,G 1,G 2,G 8,G 6,0,0,1,0,0,-1,0,0,1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"4,507",Clus 4,G 4,G 2,15,G 2,G 2,G 2,G 1,G 2,G 5,G 4,0,-1,-1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,1,1,-1,-1,0,1,0,1,-1,-1
"4,511",Clus 1,G 3,G 1,15,G 1,G 2,G 1,G 2,G 2,G 12,G 3,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,1,0,1,0,0,0,1,1
"4,513",Clus 1,G 3,G 1,10,G 1,G 2,G 1,G 2,G 1,G 2,G 11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0
"4,514",Clus 4,G 10,G 2,20,G 2,G 3,G 1,G 1,G 4,G 6,G 11,-1,-1,-1,1,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,-1,0,0,1,0,0,-1,-1,1,1,1,1,-1,-1
"4,515",Clus 1,G 4,G 2,5,G 2,G 1,G 3,G 1,G 4,G 3,G 3,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,1,1,1,-1,-1,0,0,1,0,-1,-1,0,0,1,-1,-1,-1
"4,516",Clus 2,G 10,G 2,10,G 2,G 1,G 1,G 1,G 4,G 1,G 1,0,-1,0,0,-1,0,0,-1,1,1,-1,0,-1,1,0,-1,1,0,-1,0,0,1,1,0,0,-1,1,-1,1,0,0,-1
"4,519",Clus 2,G 4,G 2,15,G 2,G 2,G 1,G 1,G 1,G 4,G 5,0,-1,0,0,0,0,-1,0,1,1,0,-1,0,0,1,1,0,0,0,0,-1,1,1,0,-1,-1,1,1,1,1,0,-1
"4,521",Clus 4,G 4,G 1,20,G 2,G 1,G 2,G 1,G 3,G 5,G 7,0,-1,0,1,-1,0,-1,-1,1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,1,1,-1,-1,0,1,1,0,-1,0
"4,524",Clus 4,G 4,G 2,20,G 2,G 1,G 1,G 1,G 4,G 12,G 5,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,1,-1,-1,0,-1,0,-1,-1,1,1,0,0,1,0,1,1,0,-1
"4,525",Clus 1,G 4,G 1,5,G 2,G 2,G 2,G 1,G 1,G 6,G 4,-1,0,0,1,0,0,-1,1,0,0,1,0,-1,0,0,0,0,-1,0,1,-1,0,1,-1,-1,-1,0,1,-1,0,0,1
"4,526",Clus 4,G 4,G 2,5,G 2,G 1,G 1,G 1,G 4,G 10,G 3,-1,-1,0,1,0,0,0,0,1,0,-1,0,0,0,1,-1,-1,0,-1,0,0,0,0,1,0,0,1,0,1,0,0,-1
"4,527",Clus 1,G 4,G 1,10,G 1,G 1,G 1,G 1,G 2,G 3,G 8,1,0,0,0,1,0,0,0,1,-1,0,-1,-1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,1,0,0,-1,0,0,1
"4,529",Clus 4,G 4,G 1,10,G 2,G 2,G 2,G 1,G 1,G 3,G 3,0,-1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,-1,-1,1,1,1,1,0,-1
"4,530",Clus 1,G 5,G 2,15,G 1,G 1,G 1,G 1,G 3,G 4,G 4,-1,-1,0,0,-1,0,-1,1,1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,0,0,0,0,1,1,1,-1
"4,531",Clus 4,G 10,G 2,20,G 2,G 1,G 3,G 1,G 4,G 2,G 4,0,-1,-1,0,0,0,1,-1,1,0,-1,-1,-1,1,0,-1,0,0,-1,0,0,1,0,0,-1,0,1,0,1,1,0,-1
"4,532",Clus 2,G 5,G 2,20,G 2,G 1,G 2,G 1,G 3,G 3,G 1,0,-1,0,0,0,1,1,-1,1,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,-1
"4,534",Clus 3,G 4,G 2,15,G 2,G 1,G 2,G 3,G 2,G 4,G 3,1,0,0,0,0,-1,0,1,1,0,0,0,-1,0,1,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,1,0,0,-1
"4,536",Clus 2,G 4,G 2,10,G 2,G 1,G 1,G 1,G 4,G 10,G 3,0,-1,0,0,0,1,1,0,1,0,0,-1,0,0,1,0,1,1,-1,0,0,1,1,0,-1,-1,-1,0,1,0,0,0
"4,537",Clus 4,G 5,G 2,10,G 2,G 1,G 2,G 1,G 3,G 3,G 3,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,1,0,-1,0,0,0,0,-1,-1,0,0,1,0,0,-1
"4,538",Clus 2,G 4,G 2,40,G 2,G 1,G 1,G 1,G 4,G 5,G 6,0,-1,0,0,0,1,0,0,1,0,0,0,0,1,0,-1,1,-1,0,0,0,1,1,0,-1,-1,0,-1,1,0,-1,0
"4,539",Clus 4,G 4,G 1,18,G 2,G 3,G 3,G 1,G 4,G 5,G 1,0,-1,0,0,1,-1,0,0,1,0,0,0,-1,1,0,-1,0,0,-1,0,0,0,1,0,0,0,1,0,1,0,1,-1
"4,540",Clus 1,G 4,G 2,8,G 1,G 1,G 1,G 1,G 3,G 12,G 6,0,0,-1,-1,1,-1,1,0,0,0,1,1,0,0,-1,0,0,1,-1,1,0,0,0,-1,-1,0,0,0,0,-1,0,-1
"4,541",Clus 1,G 10,G 1,25,G 2,G 1,G 1,G 1,G 4,G 11,G 5,0,1,0,-1,0,0,0,1,-1,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,1,1,1,-1,0,0,0,0,0
"4,542",Clus 2,G 10,G 2,30,G 2,G 1,G 1,G 1,G 4,G 3,G 6,0,0,0,0,0,0,1,0,1,0,-1,1,0,1,0,0,1,-1,-1,0,0,1,1,-1,0,0,0,0,1,0,-1,0
"4,545",Clus 4,G 4,G 2,10,G 2,G 1,G 2,G 1,G 2,G 5,G 3,0,0,-1,1,0,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,-1,1,1,-1,1,0,0,0,0,1,0,1,1,-1
"4,547",Clus 5,G 10,G 2,15,G 2,G 1,G 1,G 1,G 2,G 8,G 10,0,-1,0,1,0,-1,0,1,1,0,-1,-1,0,0,0,-1,1,0,0,-1,0,0,0,0,-1,-1,1,1,1,0,0,-1
"4,550",Clus 1,G 4,G 2,3,G 1,G 2,G 1,G 3,G 1,G 4,G 5,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1
"4,551",Clus 1,G 4,G 2,10,G 1,G 1,G 1,G 1,G 3,G 4,G 4,-1,0,0,0,0,0,1,0,0,-1,0,-1,0,-1,1,1,0,-1,-1,0,1,1,0,-1,0,0,0,0,0,0,0,-1
"4,553",Clus 1,G 4,G 1,15,G 1,G 2,G 1,G 3,G 2,G 2,G 3,0,1,0,0,-1,1,0,0,0,-1,0,-1,0,0,0,1,0,0,-1,-1,0,1,1,0,-1,-1,0,0,0,1,-1,0
"4,554",Clus 2,G 9,G 2,20,G 2,G 1,G 1,G 1,G 4,G 12,G 4,0,-1,0,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,1,-1,0,0,1,1,0,0,-1,1,-1,1,-1,-1,-1
"4,555",Clus 1,G 4,G 1,10,G 1,G 1,G 1,G 1,G 2,G 5,G 3,0,-1,0,-1,0,0,0,1,0,1,0,-1,-1,0,0,0,-1,0,-1,0,1,0,1,-1,0,0,0,0,0,1,1,-1
"4,556",Clus 1,G 3,G 2,20,G 2,G 2,G 2,G 1,G 1,G 9,G 5,0,-1,-1,1,0,0,0,1,1,1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,1,-1,1,1,0,0,1,1,0,-1
"4,557",Clus 3,G 4,G 1,15,G 1,G 2,G 1,G 2,G 1,G 4,G 4,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,-1,-1,0,0,1,0,0,0,-1,-1,1,1,0,1,1,0
"4,559",Clus 4,G 4,G 1,25,G 2,G 1,G 1,G 1,G 4,G 6,G 10,0,-1,0,0,1,-1,0,0,1,1,-1,1,0,0,-1,-1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,-1
"4,560",Clus 3,G 4,G 1,15,G 1,G 1,G 2,G 3,G 1,G 3,G 4,0,0,0,1,0,0,0,1,1,-1,-1,0,-1,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,1,0,1,0,1
"4,562",Clus 1,G 4,G 1,10,G 1,G 2,G 1,G 2,G 1,G 3,G 4,-1,-1,-1,1,0,0,0,1,0,-1,-1,1,-1,-1,0,1,1,-1,1,0,0,0,0,-1,0,0,0,1,0,0,0,1
"4,564",Clus 4,G 4,G 2,15,G 2,G 1,G 2,G 1,G 4,G 4,G 4,-1,-1,-1,1,0,0,-1,0,1,-1,-1,-1,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,-1,1,1,1,1,-1,-1
"4,565",Clus 3,G 6,G 1,10,G 1,G 1,G 1,G 1,G 2,G 3,G 2,0,0,0,0,-1,0,-1,1,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,1,-1,1,0,1,1,0,0,1,0
"4,567",Clus 5,G 4,G 2,15,G 2,G 1,G 1,G 1,G 4,G 4,G 2,0,0,0,0,-1,0,1,0,1,0,0,0,0,-1,-1,1,0,-1,-1,0,0,0,1,0,0,0,1,1,1,1,0,0
"4,568",Clus 2,G 4,G 2,15,G 2,G 1,G 2,G 1,G 4,G 2,G 3,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,0,0,1,0,-1,-1
"4,570",Clus 3,G 4,G 1,20,G 1,G 2,G 1,G 2,G 1,G 3,G 3,-1,0,-1,1,1,0,-1,1,0,0,-1,0,0,0,1,0,-1,0,-1,1,0,-1,1,0,-1,0,0,1,0,0,1,0
"4,572",Clus 1,G 4,G 2,10,G 1,G 1,G 1,G 1,G 2,G 2,G 4,-1,-1,0,1,0,0,1,-1,0,1,-1,0,1,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0
"4,573",Clus 5,G 9,G 1,20,G 1,G 1,G 2,G 1,G 1,G 10,G 8,0,0,-1,1,0,0,-1,1,0,-1,-1,0,-1,0,1,-1,0,-1,0,0,0,0,1,0,-1,0,0,1,0,0,1,-1
"4,574",Clus 2,G 3,G 2,24,G 2,G 1,G 1,G 1,G 4,G 3,G 8,-1,-1,0,0,-1,0,0,1,1,1,-1,0,0,0,1,-1,1,1,-1,1,0,0,0,0,-1,0,-1,0,1,0,0,-1
"4,575",Clus 3,G 10,G 1,10,G 2,G 2,G 3,G 1,G 1,G 2,G 2,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,0,-1,-1,0,1,0,0,-1,-1
